"#","Reference","Qty","Value","Footprint","DNP"
"1","+3V1, GND1, ON/OFF1, Return1","4","TestPoint","12.5mmBattHolder:NEST_Wire_Connect",""
"2","B1","1","BR1225A/HBN","THT_125mm_battery:BR1225A&slash_HBN_PAN",""
"3","C1, C2, C_ESP1","3","100pF","Capacitor_SMD:C_0402_1005Metric",""
"4","C3","1","1uF","Capacitor_SMD:C_0402_1005Metric",""
"5","C4","1","10nF","Capacitor_SMD:C_0402_1005Metric",""
"6","C_Bypass1","1","0.1uF","Capacitor_SMD:C_0402_1005Metric",""
"7","Q1, Q2","2","Q_Photo_NPN","Diode_SMD:D_1206_3216Metric_Pad1.42x1.75mm_HandSolder",""
"8","Q3","1","BC847","Package_TO_SOT_SMD:SOT-23",""
"9","R1, R2","2","2.2M","Resistor_SMD:R_0402_1005Metric",""
"10","R3, R4","2","82k","Resistor_SMD:R_0402_1005Metric",""
"11","R5","1","180k","Resistor_SMD:R_0402_1005Metric",""
"12","R6","1","330k","Resistor_SMD:R_0402_1005Metric",""
"13","R7","1","33k","Resistor_SMD:R_0402_1005Metric",""
"14","U1","1","SN74AHC132RGYR","QFN_NAND2:RGY14_2P05X2P05",""
